# Omega_m, sigma_8, S_8
9.925717929813632212e-02,9.952447580907616276e-01,5.724667091811590502e-01
1.112860599363371672e-01,1.044350619913952949e+00,6.360717166136142797e-01
1.174649886248595732e-01,1.100669622002188541e+00,6.887324943124297771e-01
1.201741437505269849e-01,1.163973890348512841e+00,7.366956906250878845e-01
1.201741437505269849e-01,1.237615172604380698e+00,7.833043093749121333e-01
1.174649886248595732e-01,1.328456111514306981e+00,8.312675056875702406e-01
1.112860599363371672e-01,1.451300264738559331e+00,8.839282833863857380e-01
9.925717929813629437e-02,1.647305468911584692e+00,9.475332908188410785e-01
2.003348995567473534e-01,6.014673690428600228e-01,4.915070480053628232e-01
2.079139391242093016e-01,6.939373761630307502e-01,5.776987869347323112e-01
2.115055043948644575e-01,7.607466691615848431e-01,6.387637609871610334e-01
2.133913812501757046e-01,8.182312864752736559e-01,6.900870718752635247e-01
2.142259127130861085e-01,8.722855363948158747e-01,7.371129563565430587e-01
2.142259127130861085e-01,9.264537258666281083e-01,7.828870436434569591e-01
2.133913812501757046e-01,9.840218003166821825e-01,8.299129281247364931e-01
2.115055043948644575e-01,1.049523430285792758e+00,8.812362390128389844e-01
2.079139391242092738e-01,1.131901340522686095e+00,9.423012130652678175e-01
2.003348995567472701e-01,1.258588157434905597e+00,1.028492951994637528e+00
3.196651004432526921e-01,4.761488775414216001e-01,4.915070480053628232e-01
3.120860608757907162e-01,5.664021551322410142e-01,5.776987869347323112e-01
3.084944956051355325e-01,6.299080912662515797e-01,6.387637609871610334e-01
3.066086187498243132e-01,6.826095177101151323e-01,6.900870718752635247e-01
3.057740872869139093e-01,7.301201477931401618e-01,7.371129563565430587e-01
3.057740872869139093e-01,7.754599876193337682e-01,7.828870436434569591e-01
3.066086187498243132e-01,8.209202674514304299e-01,8.299129281247364931e-01
3.084944956051355325e-01,8.690189881989642817e-01,8.812362390128389844e-01
3.120860608757907717e-01,9.238749499472149740e-01,9.423012130652678175e-01
3.196651004432527476e-01,9.963555286518831489e-01,1.028492951994637528e+00
4.478312645995448094e-01,3.914364093847113590e-01,4.782531031006828637e-01
4.207428207018636956e-01,4.833953922436636796e-01,5.724667091811590502e-01
4.087139400636628506e-01,5.449504140535949004e-01,6.360717166136142797e-01
4.025350113751404724e-01,5.945787323545300707e-01,6.887324943124297771e-01
3.998258562494730328e-01,6.381361073308493559e-01,7.366956906250878845e-01
3.998258562494730328e-01,6.785091445503881324e-01,7.833043093749121333e-01
4.025350113751404724e-01,7.176283736585530315e-01,8.312675056875702406e-01
4.087139400636628506e-01,7.572999576047871884e-01,8.839282833863857380e-01
4.207428207018637512e-01,8.001045640443641416e-01,9.475332908188410785e-01
4.478312645995448094e-01,8.526398724151876829e-01,1.041746896899317321e+00
6.197537313030175854e-01,3.034996959074678369e-01,4.362216418272842344e-01
5.464208966185889471e-01,4.145732140844738400e-01,5.595053723669878298e-01
5.204303043789539895e-01,4.781581320990563877e-01,6.297848478105230186e-01
5.078565667727714672e-01,5.269727480480479453e-01,6.856430299681686158e-01
5.024724780256779599e-01,5.685077417412099932e-01,7.357527521974321916e-01
5.024724780256779599e-01,6.059788841881996735e-01,7.842472478025678262e-01
5.078565667727714672e-01,6.412715744680282937e-01,8.343569700318314020e-01
5.204303043789539895e-01,6.758873539384717688e-01,8.902151521894769992e-01
5.464208966185890581e-01,7.116917272914148329e-01,9.604946276330124100e-01
6.197537313030174744e-01,7.540350376901927554e-01,1.083778358172715839e+00
7.251719137597677500e-01,3.392281070950007305e-01,5.274140431201161938e-01
6.609892552660248111e-01,4.155281358587178397e-01,6.167895516907054843e-01
6.350665816376821482e-01,4.671137347618694591e-01,6.796285896490681377e-01
6.246024261305356262e-01,5.086621150893366750e-01,7.339569695621046552e-01
6.246024261305356262e-01,5.447598796593206005e-01,7.860430304378953625e-01
6.350665816376821482e-01,5.775934592139793100e-01,8.403714103509318800e-01
6.609892552660248111e-01,6.084885077013758581e-01,9.032104483092945335e-01
7.251719137597680831e-01,6.384226200908308391e-01,9.925859568798840460e-01
7.969859039892750463e-01,4.479791236241355556e-01,7.301674497783736673e-01
7.969859039892750463e-01,4.845854108745837885e-01,7.898325502216263505e-01
1.477216056086147478e-01,9.088029927126601848e-01,6.377216056086147944e-01
1.732252963303598514e-01,9.927993972168444037e-01,7.544084321101199864e-01
1.732252963303598514e-01,1.112796150149841123e+00,8.455915678898801024e-01
1.477216056086147478e-01,1.371321713039685752e+00,9.622783943913852944e-01
2.644084321101199397e-01,7.064542779692729590e-01,6.632252963303598703e-01
2.690148901119211455e-01,8.015355030080292265e-01,7.590148901119212477e-01
2.690148901119211455e-01,8.880977591585944575e-01,8.409851098880789522e-01
2.644084321101199397e-01,9.978336178708888671e-01,9.367747036696402185e-01
3.555915678898801113e-01,6.091804856460492079e-01,6.632252963303598703e-01
3.509851098880789055e-01,7.017243985622569902e-01,7.590148901119212477e-01
3.509851098880788500e-01,7.775075010043692725e-01,8.409851098880789522e-01
3.555915678898801113e-01,8.604389369342612115e-01,9.367747036696402185e-01
4.722783943913852478e-01,5.082679430258888464e-01,6.377216056086147944e-01
4.467747036696401719e-01,6.181912782910240489e-01,7.544084321101199864e-01
4.467747036696401164e-01,6.929102459841712802e-01,8.455915678898801024e-01
4.722783943913852478e-01,7.669416495130227940e-01,9.622783943913852944e-01
